"asc_bus","asc_air","asc_rail","asc_bus_shift_female","asc_air_shift_female","asc_rail_shift_female","b_tt_car","b_tt_bus","b_tt_air","b_tt_rail","b_tt_shift_business","b_access","b_cost","b_cost_shift_business","cost_income_elast","b_wifi","b_food","mu_SP","logLike"
0.0544019351151846,-0.670407507207751,-1.46269934267874,0.233914872431944,0.165795747829397,0.128298174643049,-0.00788654385547163,-0.0122929803138235,-0.00948987212014408,-0.00333153454245971,-0.00373991239617665,-0.0121051616305377,-0.0440827974161391,0.0190943788574289,-0.593801111968401,0.628764271795249,0.279386482239991,1.70819987856839,-5807.97432598497
0.0544019205881693,-0.670407370242503,-1.46269915936647,0.233914738869596,0.165795823589787,0.128298062096648,-0.00788645920937797,-0.0122912116287946,-0.00948799374674161,-0.00333859791164726,-0.00375332998848757,-0.0120966274858745,-0.0440901255334908,0.0190935249738441,-0.593801942676694,0.628764093885293,0.279386113844282,1.7082004753835,-5807.9675938352
0.0544013681849538,-0.670404962295649,-1.46269323201518,0.233911247081057,0.165797249080884,0.128295784365223,-0.00788854560736795,-0.012313994544981,-0.00951357820049796,-0.00334002253928475,-0.00377244916895766,-0.0119160189567731,-0.0442999237244433,0.0190092576552471,-0.59382320542774,0.628759651239914,0.279376702884809,1.70821523925387,-5807.92660918633
0.0543994905371361,-0.670397879726003,-1.462668995152,0.233897850848391,0.165802016517343,0.12828716454173,-0.00789260116781869,-0.0123284500184826,-0.00979256300769484,-0.00338779908904009,-0.00374345013463345,-0.0115326359935175,-0.0442743376407422,0.019125430572708,-0.593897393059725,0.628745500889042,0.279339256980217,1.70826180793041,-5807.91930448992
0.0543978764372212,-0.670391915656052,-1.46264769595489,0.233886313950405,0.165805948408264,0.128279698510099,-0.00788835881792743,-0.0123263888090013,-0.00977326472576512,-0.00337667170650269,-0.00373317870128185,-0.0115198076377019,-0.0442964389109628,0.0191853764106645,-0.593962088769509,0.628732726342455,0.27930696090955,1.7083030602845,-5807.91596610803
0.0543929309461601,-0.670374441824179,-1.46258161079421,0.233850805729081,0.165817567124839,0.12825669125404,-0.00790595331777177,-0.0123433359049462,-0.00980902088567663,-0.00340519510345489,-0.0037250499230471,-0.0115557737199692,-0.0443466765636133,0.0192467026319352,-0.594161550315868,0.628692060452368,0.279207011201128,1.70843005391578,-5807.90864694507
0.0530457848112024,-0.665505243603122,-1.44448531124152,0.224161159699413,0.16902456842066,0.12197346769166,-0.00767919969857477,-0.0120509498777267,-0.0094922999607764,-0.00312598347740116,-0.00371477803252977,-0.0112562974639284,-0.0426494700016252,0.0184760728126134,-0.648355692174631,0.617700992639368,0.25194375370741,1.7425533984017,-5807.75954981478
0.0519684940865089,-0.661215280142736,-1.42361601415234,0.215481302738232,0.167571142686282,0.118763462122738,-0.00752465870355884,-0.0118119424020734,-0.00920682348610239,-0.00297887517253104,-0.00363667593073948,-0.0109440270875033,-0.0416783582280181,0.0181495790452146,-0.654029119444779,0.58585472898455,0.247939464228356,1.77602324096174,-5807.09833823046
0.0490531343483922,-0.648184109629197,-1.36087262857125,0.192946359987567,0.157987709055789,0.1129967149404,-0.00715239590658278,-0.0111737877895711,-0.00853240702299911,-0.00275982377496982,-0.00343580479852596,-0.0102115064731178,-0.0393912989553523,0.017138532409696,-0.638993399466033,0.547343657638744,0.210103275030295,1.88241567725719,-5805.80477045563
0.0472848723581626,-0.638075594582995,-1.31978967848455,0.184790061479997,0.148989697735523,0.109655252710676,-0.00694904688993646,-0.0108496076385031,-0.00830699160046302,-0.00278168323507256,-0.00334299472901727,-0.00993860126535626,-0.0382374823588045,0.0165888618646178,-0.641065481916915,0.548312017268715,0.225054066291448,1.93680034451107,-5805.24047684878
